1331 2932
380 833 50
381 201 84
384 692 173
385 183 58
386 891 25
387 1119 57
388 662 59
393 530 57
395 366 50
399 236 159
400 388 63
403 1018 56
404 358 56
406 1253 315
410 387 64
416 424 115
418 330 19
421 655 40
425 1129 10
428 178 123
429 321 105
435 433 27
440 850 97
440 169 89
443 1078 161
445 924 11
447 585 33
448 877 72
448 160 113
449 409 453
453 298 121
456 167 238
459 718 3
462 1283 150
471 801 208
472 264 67
478 44 88
478 206 113
479 1182 26
482 275 55
485 817 108
493 486 90
493 420 61
495 1087 66
504 1059 64
504 417 70
504 535 271
506 550 160
510 137 36
510 422 63
511 473 118
512 287 62
513 541 58
515 135 96
515 791 21
516 401 53
519 39 113
519 1215 118
519 128 314
522 1203 135
523 634 25
525 169 76
527 976 47
527 334 64
529 219 45
530 1189 95
534 890 47
534 501 50
534 976 95
540 231 93
540 1230 66
544 371 117
546 405 65
551 87 10
551 60 140
559 26 111
560 335 118
561 1330 192
571 71 122
572 90 124
574 575 67
578 686 60
580 878 124
582 738 56
583 738 71
588 1236 4
588 587 65
594 705 138
595 1148 71
596 542 68
598 1046 52
603 600 92
605 606 58
605 251 207
607 584 197
609 477 102
610 612 32
612 611 97
615 543 6
615 1204 49
616 817 60
616 617 76
621 1275 125
624 396 33
629 101 22
630 629 17
634 6 208
636 687 3
638 643 359
645 714 38
646 741 442
651 322 9
652 663 41
653 737 25
656 237 73
659 257 275
660 582 118
661 282 96
665 189 50
674 667 14
678 679 46
679 36 165
681 826 190
682 826 61
683 1325 119
685 606 36
687 1236 118
689 688 32
691 214 80
692 384 173
697 596 12
698 1269 73
702 523 173
702 0 93
703 19 26
707 572 134
709 707 90
710 363 98
710 1062 49
711 1028 44
712 236 12
719 1292 55
726 727 22
728 9 159
729 10 116
730 859 13
733 269 57
735 239 10
745 289 73
748 852 7
749 728 125
752 751 47
753 755 62
755 756 59
755 753 62
758 256 52
761 110 62
766 1223 13
767 1249 122
768 492 197
771 737 7
773 1209 7
776 782 70
778 779 23
782 782 279
786 787 52
787 785 37
787 777 31
790 610 154
791 440 24
795 545 52
797 142 51
799 465 5
801 118 98
804 806 57
806 804 57
808 1193 118
809 420 39
811 420 31
814 815 29
819 818 42
820 821 17
822 821 29
825 824 23
828 268 41
834 1178 168
834 474 24
838 838 147
840 417 123
844 847 15
844 846 100
846 845 6
848 537 327
851 96 59
857 1216 5
861 862 316
862 861 316
864 892 234
865 488 35
866 248 112
866 1139 54
872 407 254
874 208 71
878 580 124
880 152 67
880 1128 96
882 883 125
884 325 69
885 391 83
886 355 51
887 886 68
888 485 46
890 534 47
893 116 103
895 314 61
898 221 132
900 1153 109
901 489 88
901 357 27
903 337 104
904 492 78
905 1103 181
907 470 54
908 918 80
909 915 59
912 907 60
912 905 45
914 910 61
915 909 59
916 910 60
919 709 265
920 122 249
922 571 123
923 656 68
926 326 100
928 484 127
929 927 127
930 155 123
931 321 94
931 422 126
933 206 94
935 938 41
938 935 41
942 943 136
943 942 136
943 945 125
943 946 210
944 863 281
944 942 184
946 943 210
950 1008 33
951 948 52
955 902 55
957 958 10
957 521 138
959 969 65
961 910 108
962 1174 27
964 958 40
968 967 208
969 967 71
972 971 44
973 188 44
974 970 115
979 977 47
980 536 216
981 1139 51
981 229 111
987 732 48
990 431 29
992 352 47
993 355 63
993 1000 183
996 483 54
997 887 66
997 999 20
997 1001 58
999 993 81
1000 999 94
1001 161 59
1002 304 104
1004 1279 91
1006 1005 114
1009 1286 31
1010 1286 12
1010 948 53
1011 1009 56
1011 1012 107
1015 293 55
1016 712 66
1017 1025 55
1018 1017 151
1018 403 56
1019 1022 70
1022 1020 115
1022 1023 60
1023 1021 56
1025 1172 59
1027 1026 9
1028 711 44
1028 1029 95
1029 907 63
1030 711 94
1030 908 35
1036 813 48
1037 1036 98
1039 1038 75
1041 1034 60
1041 1040 66
1043 258 58
1045 1046 170
1046 598 52
1051 1050 35
1054 1050 61
1054 290 111
1055 1056 111
1056 460 61
1058 528 153
1058 901 58
1059 504 64
1064 695 146
1065 1069 41
1067 1068 42
1070 233 164
1071 1070 107
1071 341 113
1072 1071 124
1072 928 122
1073 138 92
1076 1161 58
1076 1077 66
1077 86 92
1077 325 77
1077 391 71
1083 1081 42
1085 1157 121
1087 495 66
1090 495 80
1090 532 77
1091 1092 66
1092 395 52
1094 1093 102
1094 1238 111
1095 516 169
1095 253 54
1097 1096 108
1101 793 39
1103 905 181
1104 217 69
1105 1274 6
1105 588 97
1110 925 169
1114 1115 66
1114 251 173
1115 875 77
1117 877 193
1118 876 25
1124 1308 32
1124 1123 102
1125 1124 17
1125 234 220
1127 1126 157
1130 1254 19
1131 129 47
1132 486 258
1135 308 149
1145 221 11
1147 798 8
1148 465 55
1152 816 77
1155 1085 207
1158 729 4
1159 392 47
1160 192 65
1162 192 56
1164 344 12
1167 1165 92
1171 746 4
1171 1187 7
1171 1170 111
1176 1175 52
1182 1183 62
1184 1185 112
1185 1010 73
1185 1184 112
1188 1170 20
1190 1191 14
1191 1190 14
1195 1211 57
1200 1200 60
1201 75 8
1205 817 5
1206 1066 18
1214 105 90
1214 1213 18
1215 519 118
1218 1217 20
1220 102 16
1222 37 49
1226 30 30
1229 75 99
1231 1242 9
1231 1232 62
1232 941 29
1233 37 16
1235 159 45
1236 588 4
1237 194 67
1238 212 65
1239 1241 12
1239 843 219
1241 1239 12
1242 1231 9
1253 942 383
1253 681 153
1254 628 17
1256 369 254
1257 346 119
1257 772 180
1258 81 8
1262 1263 18
1271 1047 30
1274 1320 93
1279 1004 91
1283 462 150
1284 730 1
1285 857 23
1292 1123 71
1295 299 183
1297 33 6
1300 793 4
1307 1016 8
1310 1149 9
1313 267 48
1314 423 29
1320 1274 93
1326 364 316
