1331 2932
186 1122 43
186 260 22
187 900 58
187 379 131
187 417 176
188 971 116
188 965 42
188 973 44
189 759 50
189 247 31
190 1017 55
190 143 97
190 938 144
191 509 20
192 252 58
192 1162 56
192 131 130
192 1160 65
193 437 55
193 830 52
193 373 198
194 197 167
194 757 232
194 1237 67
194 516 72
195 754 39
195 1127 120
195 1180 77
196 255 29
196 1230 69
197 1095 59
197 240 77
197 194 167
197 1189 128
198 1248 7
199 172 52
200 1074 44
200 423 28
201 586 84
201 744 80
201 381 84
202 1039 61
202 1037 38
202 1032 98
203 8 119
203 372 55
204 317 65
204 1273 5
204 247 73
205 363 55
205 528 38
205 1152 77
206 478 113
206 321 106
206 933 94
207 328 9
207 390 46
207 458 121
208 874 71
208 414 57
209 689 3
210 917 49
210 711 82
211 109 57
212 225 59
212 1238 65
212 366 50
213 1072 122
213 767 119
214 333 117
214 1064 124
215 764 25
215 1130 162
216 334 48
216 976 63
216 254 131
217 763 28
217 394 306
217 657 70
218 174 130
218 155 113
219 171 94
220 85 120
220 701 129
220 92 97
221 1145 11
221 353 62
221 898 132
222 134 182
222 1152 110
223 572 137
224 1112 50
224 874 66
224 289 161
225 495 84
225 212 59
225 244 66
226 767 125
226 1072 118
227 475 81
227 381 244
228 590 11
228 1302 190
229 981 111
229 358 57
229 158 31
230 453 103
230 7 120
231 986 63
231 303 64
231 399 58
232 211 73
232 281 9
233 142 40
234 944 135
234 1125 220
234 945 146
235 466 175
235 500 58
235 401 67
236 502 67
236 712 12
236 397 74
237 659 67
237 658 123
238 525 90
238 304 46
238 147 257
239 404 119
239 735 10
239 1278 174
240 197 77
240 1089 81
240 1237 166
241 355 78
241 996 226
241 774 116
242 800 14
242 918 146
243 1213 36
243 1214 24
244 225 66
244 1088 74
244 1087 83
245 931 121
245 932 60
245 933 32
246 867 56
246 1298 6
247 451 154
247 204 73
247 189 31
248 866 112
248 982 65
249 1283 76
250 704 3
250 227 95
251 1203 67
251 448 117
251 605 207
252 1076 114
252 192 58
252 58 67
252 152 144
253 1095 54
253 264 122
253 401 172
253 466 68
254 978 50
254 977 111
254 720 166
254 216 131
255 865 26
255 415 29
256 625 22
256 275 132
256 1096 56
257 1135 86
258 868 31
258 1043 58
258 1032 30
259 1083 42
259 146 47
259 1080 125
260 494 74
260 186 22
261 520 82
261 1138 124
262 505 13
262 1255 62
263 422 52
264 253 122
264 311 54
265 531 120
265 144 80
265 181 42
266 861 142
266 769 340
266 765 353
267 624 7
267 475 88
268 836 13
268 1147 124
268 465 66
269 733 57
269 360 273
270 880 64
270 296 11
270 59 61
271 432 54
271 956 134
272 375 93
273 1142 247
273 454 109
274 1078 33
274 337 55
274 1281 164
274 1081 112
275 482 55
275 382 143
275 256 132
276 661 60
276 715 123
277 434 154
278 500 114
279 1182 50
279 488 41
280 683 89
281 1191 43
281 232 9
281 109 28
282 661 96
282 662 27
282 1021 121
283 544 37
283 1143 147
283 22 93
284 491 83
284 338 59
285 539 123
285 552 128
286 1321 319
286 736 90
286 1047 63
287 508 61
287 512 62
287 768 74
288 458 55
288 533 136
288 329 42
289 743 14
289 224 161
290 1049 61
290 1055 60
290 1054 111
291 1278 8
291 735 176
292 359 40
293 501 13
293 1307 166
293 1015 55
294 330 268
295 540 65
295 864 79
296 270 11
296 1082 51
296 1227 119
297 144 31
298 930 121
299 69 9
299 644 59
300 1071 123
300 928 123
301 1302 10
301 590 190
302 1307 18
302 975 51
302 501 153
303 231 64
303 502 96
303 1230 73
304 1003 19
304 1002 104
304 238 46
305 622 50
305 819 89
306 240 130
306 292 82
307 1141 106
308 1134 50
309 149 126
309 456 120
309 991 100
310 872 53
310 873 52
311 1095 123
311 1189 51
312 511 113
312 1252 123
313 331 61
313 339 147
313 181 69
314 203 67
314 564 56
315 513 107
315 131 60
315 1160 88
316 504 63
316 1057 153
317 204 65
317 148 78
317 381 200
318 693 27
319 1109 150
319 1148 55
320 646 299
320 209 112
321 1222 33
321 931 94
321 429 105
322 649 4
322 1031 66
323 684 93
323 653 27
324 811 104
324 651 69
325 48 72
325 884 69
325 1077 77
326 926 100
326 445 164
327 897 51
327 421 127
328 207 9
328 925 65
329 125 109
329 288 42
329 154 123
330 130 141
330 294 268
331 148 72
331 313 61
331 743 41
332 1146 9
332 1044 138
332 382 62
333 526 100
334 216 48
334 351 74
334 527 64
335 115 121
335 450 65
336 640 71
336 640 77
336 832 16
337 87 179
337 903 104
337 274 55
337 61 137
338 284 59
338 456 248
339 531 70
339 313 147
339 1112 36
340 379 68
340 379 126
340 840 71
341 226 122
341 350 129
342 14 230
342 717 33
343 867 89
343 161 128
343 748 107
344 1164 12
345 690 45
345 91 44
346 191 165
347 320 49
348 634 28
348 632 18
349 849 7
350 795 191
350 91 120
351 334 74
351 126 47
351 891 62
352 992 47
352 441 291
353 1329 21
353 376 145
353 221 62
354 991 30
355 993 63
355 241 78
355 886 51
356 445 76
356 361 258
356 926 171
357 901 27
357 1058 52
357 1059 67
358 404 56
358 229 57
358 1139 107
359 498 127
359 233 114
360 892 33
361 193 40
361 514 26
361 356 258
362 432 11
362 497 117
363 710 98
363 710 139
363 205 55
364 70 14
364 150 121
365 1033 69
365 740 88
366 1093 94
366 212 50
366 395 50
367 1141 57
367 722 9
368 326 74
369 509 115
369 456 106
369 185 222
370 141 105
370 835 21
371 544 117
372 450 121
372 411 66
373 870 37
373 1106 53
373 193 198
374 1255 11
374 1129 135
375 199 33
375 757 43
375 228 34
376 435 44
376 1045 88
376 353 145
376 1048 32
377 1138 63
377 1248 120
377 472 66
378 179 74
379 340 68
379 340 126
379 187 131
380 446 49
380 833 50
381 317 200
381 201 84
381 227 244
382 542 79
382 275 143
382 332 62
383 383 79
383 1143 122
384 692 173
384 796 140
384 345 206
385 183 58
385 1106 107
385 1110 112
386 527 51
386 891 25
386 889 126
387 1119 57
387 410 64
388 662 59
388 661 71
388 400 63
389 904 87
390 1041 79
390 1042 64
390 207 46
391 885 83
391 884 83
391 1077 71
392 573 74
392 48 181
392 1159 47
393 530 57
393 114 76
394 1153 83
395 1092 52
395 532 67
395 366 50
396 1063 187
396 624 33
396 535 102
397 1016 18
397 302 7
398 478 52
398 206 105
399 236 159
399 347 11
400 1027 34
400 1027 158
400 388 63
401 253 172
401 235 67
401 516 53
402 1151 68
402 481 121
403 909 65
403 1025 134
403 1019 59
403 1018 56
404 239 119
404 358 56
404 980 110
405 144 12
405 1144 573
406 101 20
406 943 260
406 1253 315
407 871 62
407 872 51
407 872 254
408 1326 1
409 399 52
410 605 65
410 387 64
410 606 32
411 372 66
411 335 123
412 1102 28
413 1149 141
413 623 8
414 1094 51
414 1237 73
415 865 40
415 864 174
416 424 115
416 46 22
417 504 70
417 1168 58
417 840 123
417 187 176
418 330 19
418 550 12
419 875 72
419 1114 93
419 726 243
420 811 31
420 493 61
420 809 39
421 655 40
421 1082 43
421 327 127
422 510 63
422 263 52
422 931 126
423 1314 29
423 1074 43
423 894 104
423 587 114
424 791 32
424 477 100
425 1129 10
425 102 186
426 517 206
426 162 189
427 1131 141
428 178 123
428 1007 110
428 432 53
429 321 105
429 47 77
429 478 52
430 55 39
431 1138 63
431 548 32
432 362 11
432 68 138
432 428 53
433 435 27
434 618 7
434 277 154
434 14 166
435 376 44
435 433 27
435 666 85
436 344 100
437 319 53
437 1107 142
438 891 32
438 479 15
438 975 144
439 1102 44
439 1100 118
439 1192 15
440 850 97
440 169 89
441 352 291
442 989 54
443 1078 161
444 1152 9
444 627 74
445 356 76
445 924 11
446 380 49
447 535 49
447 585 33
448 877 72
448 160 113
449 663 187
449 409 453
450 230 19
451 247 154
451 181 43
451 1317 92
452 1032 194
452 365 60
453 298 121
453 115 66
454 29 383
454 273 109
455 470 94
456 167 238
456 369 106
456 309 120
457 20 15
457 476 116
458 119 9
458 288 55
458 1217 123
459 718 3
460 1056 61
460 899 162
460 163 112
461 306 84
462 608 10
462 249 105
462 1283 150
463 182 194
464 215 56
464 105 148
465 799 5
465 1148 55
465 268 66
466 1248 63
466 253 68
466 235 175
467 665 135
467 297 356
468 544 140
469 770 44
469 825 93
470 907 54
470 968 43
470 455 94
470 959 146
471 801 208
471 471 64
472 466 120
472 264 67
473 538 123
473 151 120
474 1243 243
475 227 81
475 267 88
476 457 116
477 609 102
477 1004 45
477 46 72
478 44 88
478 206 113
479 438 15
479 1182 26
479 126 62
480 298 64
480 27 213
480 921 127
481 134 129
481 1062 210
482 275 55
482 1096 131
482 923 411
483 996 54
483 888 80
483 995 163
484 496 127
484 114 110
485 817 108
485 996 84
485 888 46
486 1132 258
486 1132 158
486 493 90
487 342 33
487 717 20
488 865 35
488 397 195
489 901 88
489 1168 93
489 1085 118
490 1042 69
490 1038 102
490 1035 58
491 261 172
491 989 98
491 284 83
492 179 131
492 904 78
492 768 197
493 1036 32
493 486 90
493 420 61
494 655 60
494 260 74
494 508 43
495 225 84
495 1090 80
495 1087 66
496 461 66
496 300 126
497 165 9
498 461 110
498 300 83
499 1207 211
500 116 79
500 235 58
500 894 105
501 534 50
501 979 50
501 293 13
502 303 96
502 196 84
503 882 72
503 881 136
503 54 63
504 1059 64
504 316 63
504 417 70
504 535 271
505 262 13
505 862 50
505 374 66
506 130 13
506 550 160
507 1039 91
507 1133 64
507 1035 18
508 287 61
508 494 43
508 1082 97
509 369 115
509 13 202
510 137 36
510 422 63
511 121 121
511 473 118
512 179 205
512 60 81
512 287 62
513 315 107
513 541 58
513 1160 145
514 361 26
515 135 96
515 791 21
515 424 21
516 1095 169
516 401 53
516 194 72
517 695 65
517 920 144
517 919 261
518 429 46
518 1222 105
519 39 113
519 1215 118
519 128 314
520 284 196
521 497 9
521 271 60
522 635 41
522 1203 135
523 632 19
523 634 25
524 902 10
524 1011 83
525 169 76
525 515 88
525 238 90
526 413 74
526 1150 69
527 976 47
527 386 51
527 334 64
527 890 110
528 1058 153
528 585 67
528 205 38
529 989 64
529 219 45
530 1189 95
530 393 57
530 496 113
531 339 70
531 265 120
532 1091 54
532 1090 77
533 125 56
533 1035 87
533 288 136
534 890 47
534 501 50
534 976 95
535 396 102
535 447 49
536 1183 66
536 279 64
537 664 47
538 346 19
538 185 116
539 24 125
540 231 93
540 1230 66
540 295 65
541 513 58
541 99 91
542 596 68
542 706 11
542 382 79
543 615 6
543 614 318
544 283 37
544 468 140
544 371 117
545 341 143
545 1070 141
546 405 65
547 980 127
547 239 113
548 354 12
548 393 127
549 223 87
549 1140 68
550 418 12
550 41 174
551 87 10
551 60 140
552 566 138
552 563 130
553 12 99
554 2 203
555 559 29
555 4 23
556 28 22
556 633 38
557 565 29
557 895 49
558 561 202
558 218 191
559 26 111
560 335 118
560 702 195
561 680 6
561 1330 192
562 1119 68
562 567 25
563 77 70
563 76 136
563 75 202
564 348 15
564 557 67
565 21 18
566 77 216
566 18 115
567 173 49
567 876 194
568 98 130
568 285 126
569 922 121
569 71 122
571 71 122
571 539 124
572 568 120
572 90 124
573 392 74
573 50 170
574 575 67
574 156 142
575 430 66
575 112 149
576 579 23
577 578 29
577 53 137
578 686 60
578 1161 207
579 112 42
579 580 61
580 878 124
580 579 61
580 882 60
581 583 50
581 607 305
581 1143 649
582 583 6
582 660 118
582 738 56
583 582 6
583 581 50
583 738 71
584 607 197
584 1201 30
585 1061 48
585 447 33
585 528 67
586 1113 56
586 1238 40
586 201 84
587 645 95
587 588 65
587 423 114
588 1236 4
588 1105 97
588 1306 391
588 587 65
589 861 353
589 1254 19
589 16 316
590 310 65
590 199 41
591 696 21
591 593 381
592 696 156
592 591 132
593 604 38
594 705 138
594 597 287
595 602 10
595 1148 71
595 828 82
596 542 68
596 697 12
596 858 49
598 592 124
598 1046 52
599 836 16
599 827 50
600 604 8
600 594 39
601 603 9
601 595 78
602 595 10
602 603 78
603 601 9
603 600 92
604 600 8
604 601 93
604 830 94
605 606 58
605 251 207
606 685 36
606 410 32
607 738 10
607 581 305
607 584 197
608 462 10
608 128 126
609 477 102
610 547 6
610 612 32
611 1204 7
611 543 49
611 612 97
612 613 11
612 672 105
612 611 97
613 612 11
613 547 30
614 1275 6
614 291 126
615 543 6
615 631 359
615 1204 49
616 38 7
616 817 60
616 617 76
617 14 7
617 618 166
618 434 7
618 694 278
619 941 5
619 939 63
619 100 96
620 13 17
620 1289 13
621 291 6
621 1275 125
622 1277 117
622 338 57
623 402 64
624 1312 48
624 267 7
624 396 33
625 760 88
625 665 83
626 222 12
627 626 35
627 222 38
628 153 20
628 1253 19
629 101 22
629 406 18
630 629 17
630 1225 158
631 95 108
632 411 102
633 348 44
634 6 208
635 522 41
636 687 3
637 409 114
637 209 37
638 643 359
638 336 217
639 700 50
640 688 471
641 132 15
641 642 45
642 643 79
643 69 75
644 639 386
645 587 95
645 636 105
645 714 38
646 741 442
647 278 87
647 1234 31
648 650 51
648 651 36
649 452 147
649 647 33
650 652 106
650 1290 57
651 322 9
652 1301 5
652 663 41
653 736 21
653 737 25
653 323 27
654 655 61
655 421 40
655 494 60
655 654 61
656 237 73
657 159 63
657 761 95
658 1196 137
658 1235 82
659 257 275
660 582 118
661 276 60
661 282 96
661 388 71
662 388 59
662 1024 45
662 282 27
663 645 20
664 278 159
664 449 251
665 759 6
665 189 50
666 435 85
667 674 14
667 668 144
668 671 16
668 670 123
669 670 7
669 616 87
670 669 7
670 668 123
670 611 431
671 668 16
671 674 143
672 673 18
672 675 55
673 672 18
673 613 108
674 667 14
674 676 122
675 676 15
675 667 122
676 675 15
676 673 56
677 678 22
677 27 19
678 679 46
679 680 22
679 36 165
680 677 45
681 280 27
681 826 190
682 683 119
682 826 61
683 1325 119
684 1048 58
684 323 87
685 606 36
685 725 34
686 50 66
686 51 69
687 1236 118
687 637 23
688 1246 8
689 157 36
689 688 32
690 93 113
691 214 80
691 384 97
692 318 27
692 384 173
693 692 29
693 333 100
694 434 279
694 939 92
695 517 65
695 1151 44
696 857 199
697 596 12
698 1269 73
699 15 7
700 837 588
701 220 129
702 523 173
702 0 93
703 1210 12
703 19 26
704 250 3
706 542 11
707 572 134
707 98 116
707 708 85
708 709 6
708 919 265
709 708 6
709 707 90
710 363 98
710 363 139
710 1062 49
711 1028 44
711 210 82
711 1030 94
712 236 12
712 347 159
713 157 421
714 324 153
714 645 38
715 1306 4
715 210 63
716 1291 5
716 459 6
717 766 9
718 719 6
719 123 15
719 1292 55
720 1292 10
720 254 166
720 123 63
721 1309 88
722 367 9
722 1195 65
722 1194 13
723 726 22
723 727 14
724 685 30
724 725 23
725 723 27
726 419 243
726 727 22
727 724 29
728 9 159
728 749 125
729 1158 4
729 9 84
729 10 116
730 705 18
730 859 13
731 1285 1
732 988 11
732 733 102
733 269 57
733 133 26
733 732 102
734 981 56
734 985 101
734 133 52
735 239 10
735 610 113
736 653 21
736 286 90
737 771 7
737 653 25
737 736 17
738 607 10
738 582 56
738 583 71
739 869 71
739 228 63
740 739 33
741 740 53
741 546 367
742 744 5
742 148 122
743 289 14
743 742 77
743 331 41
744 745 9
744 742 5
744 201 80
745 744 9
745 1113 65
745 289 73
746 1171 4
747 137 81
748 852 7
748 176 28
749 728 125
750 754 9
750 753 21
750 752 25
751 752 47
752 751 47
752 753 13
752 750 25
753 752 13
753 750 21
753 755 62
754 750 9
754 195 39
754 756 71
755 756 59
755 753 62
755 1179 163
756 1179 4
756 754 71
756 755 59
757 537 91
757 375 43
757 194 232
758 256 52
759 1317 189
759 758 52
760 1096 60
760 1098 174
761 257 109
761 110 62
762 1104 33
763 217 28
764 765 12
765 589 141
765 266 353
766 1223 13
766 716 4
767 1249 122
767 97 246
768 1122 42
768 492 197
768 287 74
768 1121 107
769 780 58
769 770 219
769 266 340
770 469 44
770 823 148
770 769 219
771 737 7
772 191 59
772 620 220
773 1209 7
773 1260 62
774 140 53
774 775 43
774 241 116
775 774 43
776 778 23
776 780 22
776 782 70
777 787 31
778 785 42
778 776 23
778 779 23
779 778 23
779 779 252
780 776 22
780 769 58
780 781 52
781 780 52
781 781 167
781 781 167
782 783 33
782 776 70
782 782 279
782 782 279
783 782 33
783 783 69
783 783 69
784 785 174
785 787 37
785 778 42
785 784 174
786 787 52
786 786 189
786 786 189
787 785 37
787 786 52
787 777 31
788 553 234
788 789 27
789 1297 43
790 610 154
791 440 24
792 94 9
793 1300 4
793 1190 127
794 475 9
795 545 52
795 463 2
796 795 6
796 463 6
797 142 51
798 1147 8
799 465 5
800 641 36
801 118 98
801 471 208
802 53 163
802 807 66
803 1195 156
803 806 15
804 805 22
804 806 113
804 806 57
805 804 22
806 804 113
806 804 57
806 803 15
807 42 165
807 802 66
807 50 65
808 57 10
808 1193 118
809 420 39
810 811 41
811 420 31
811 324 104
811 810 41
812 813 33
813 815 81
813 812 33
813 1036 48
814 815 29
815 1133 24
815 813 81
815 814 29
816 1155 18
817 1205 5
817 485 108
817 616 60
818 819 42
819 818 42
819 1319 71
819 305 89
820 821 17
821 820 17
821 822 29
821 822 69
822 821 29
822 821 69
822 823 61
823 822 61
823 825 120
823 770 148
824 825 23
825 824 23
825 469 93
825 823 120
826 939 34
827 828 10
827 602 82
828 827 10
828 268 41
829 830 14
830 829 14
830 604 94
830 193 52
831 1042 30
832 132 9
832 1293 13
833 834 81
833 1178 270
834 1178 168
834 474 24
834 1243 267
836 855 40
837 599 23
838 10 60
838 838 147
838 838 147
839 1088 81
839 1087 63
840 1168 203
840 340 71
840 417 123
840 159 59
841 1318 72
841 328 227
842 638 184
843 1240 9
843 1078 40
843 1239 219
844 847 15
844 846 100
845 846 6
845 844 101
846 845 6
846 39 110
847 506 139
847 844 15
847 129 98
848 172 118
848 537 327
849 175 116
849 198 23
850 440 97
851 65 42
851 96 59
852 748 7
853 124 4
854 878 57
854 131 77
854 1162 154
855 1316 15
855 842 449
855 856 62
856 1315 15
856 841 90
857 1216 5
858 1284 13
858 859 12
859 593 128
860 1127 33
860 108 203
860 1265 160
861 266 142
861 862 316
861 589 353
862 861 316
862 505 50
862 16 353
863 1223 26
863 721 27
863 944 281
864 892 234
864 987 53
865 255 26
865 488 35
865 415 40
866 248 112
866 1139 54
866 404 108
867 343 89
867 1000 91
868 258 31
868 1033 124
868 1034 85
869 1034 124
869 739 71
869 1033 110
870 373 37
871 407 62
871 301 68
872 407 51
872 407 254
872 310 53
873 546 94
873 368 93
874 224 66
874 208 71
874 1113 135
875 419 72
876 1117 16
877 522 14
877 448 72
878 52 60
878 580 124
878 854 57
878 883 53
879 52 12
879 808 196
880 270 64
880 152 67
880 1128 96
881 883 51
881 1161 65
881 503 136
882 503 72
882 580 60
882 883 125
883 881 51
883 878 53
883 882 125
884 325 69
884 391 83
884 1080 62
885 391 83
885 903 42
885 86 71
886 887 68
886 140 64
886 355 51
887 886 68
887 998 79
887 997 66
888 994 49
888 483 80
888 485 46
889 890 49
889 975 55
889 386 126
890 534 47
890 889 49
890 527 110
891 386 25
891 438 32
891 351 62
892 360 33
892 864 234
892 986 62
893 116 103
893 894 76
893 175 17
894 423 104
894 1234 121
894 500 105
895 773 41
895 314 61
896 162 114
897 327 51
898 1327 15
898 221 132
898 1044 66
899 163 60
899 1048 89
899 460 162
900 187 58
900 1153 109
901 489 88
901 1058 58
901 357 27
902 524 10
902 957 143
902 955 55
903 1083 16
903 337 104
903 885 42
904 89 61
904 492 78
905 912 45
905 1020 74
905 1028 61
905 1103 181
906 1173 19
906 915 36
906 1244 67
907 470 54
907 912 60
907 1029 63
907 961 127
908 1030 35
908 168 107
908 918 80
909 915 59
909 1103 50
909 403 65
909 914 78
910 961 108
910 916 60
910 911 56
910 914 61
911 969 43
911 970 5
911 910 56
912 907 60
912 905 45
912 960 109
913 914 50
913 960 59
913 1103 87
914 910 61
914 913 50
914 909 78
915 906 36
915 909 59
915 916 129
916 910 60
916 1174 51
916 915 129
917 918 22
917 800 146
918 917 22
918 908 80
918 242 146
919 896 147
919 709 265
919 517 261
920 1064 74
920 122 249
920 691 139
921 218 121
921 389 287
922 17 121
922 571 123
923 482 411
923 656 68
924 758 71
924 760 136
925 1303 10
925 301 66
925 1110 169
926 183 69
926 356 171
926 326 100
927 213 122
927 312 121
928 484 127
928 927 124
929 484 125
929 927 127
930 921 94
930 155 123
931 321 94
931 245 121
931 422 126
932 245 60
933 245 32
933 206 94
933 1257 79
934 1124 78
934 1169 15
934 1014 93
935 143 146
935 938 41
935 937 60
936 1013 49
936 937 63
937 935 60
937 936 63
937 1014 156
938 935 41
938 1009 196
938 190 144
939 619 63
939 694 92
940 104 125
941 619 5
941 139 29
942 943 136
942 1253 383
942 944 184
943 942 136
943 945 125
943 406 260
943 946 210
944 234 135
944 863 281
944 942 184
945 234 146
945 943 125
945 946 337
946 70 128
946 945 337
946 943 210
947 949 34
947 1008 204
947 1184 65
948 951 52
948 902 121
949 947 34
949 951 48
949 950 138
950 953 14
950 1008 33
950 949 138
951 948 52
951 952 129
951 949 48
952 955 13
952 953 39
952 951 129
953 952 39
953 950 14
953 954 138
954 953 138
954 956 43
954 955 87
955 952 13
955 902 55
955 954 87
956 271 134
956 954 43
956 957 55
957 958 10
957 521 138
957 956 55
958 957 10
958 1181 125
958 964 40
959 969 65
959 961 59
959 470 146
960 961 61
960 913 59
960 912 109
961 910 108
961 959 59
961 960 61
961 907 127
962 1174 27
962 963 27
962 1173 104
963 962 27
964 974 42
964 958 40
964 965 85
964 1181 184
965 188 42
965 966 44
965 964 85
966 958 89
966 965 44
967 968 208
967 971 42
967 969 71
968 967 208
968 470 43
968 69 33
969 959 65
969 911 43
969 967 71
970 911 5
970 974 115
970 972 41
971 967 42
971 188 116
971 972 44
972 971 44
972 970 41
972 973 116
973 972 116
973 188 44
973 974 42
974 970 115
974 964 42
974 973 42
975 889 55
975 302 51
975 438 144
976 978 46
976 527 47
976 216 63
976 534 95
977 254 111
977 720 170
978 254 50
978 976 46
978 979 127
979 977 47
979 978 127
980 248 108
980 536 216
981 1139 51
981 734 56
981 229 111
982 985 110
982 983 110
983 984 31
983 987 78
984 983 31
984 984 46
984 984 46
985 866 60
985 982 110
985 734 101
986 231 63
986 295 106
986 892 62
987 732 48
987 269 112
988 985 48
988 133 97
989 529 64
989 491 98
989 171 149
990 520 104
990 431 29
991 309 100
991 990 19
992 1002 59
992 352 47
992 66 96
993 999 81
993 355 63
993 1000 183
994 888 49
995 483 163
996 483 54
996 485 84
996 241 226
997 887 66
997 999 20
997 1001 58
998 161 58
998 887 79
998 140 143
999 993 81
999 1000 94
999 997 20
1000 999 94
1000 867 91
1000 993 183
1001 1200 45
1001 161 59
1001 997 58
1002 135 47
1002 992 59
1002 304 104
1003 304 19
1004 398 63
1004 1279 91
1005 1007 53
1005 1006 114
1005 178 45
1006 1005 114
1007 1005 53
1007 428 110
1007 1008 125
1008 950 33
1008 947 204
1008 1007 125
1009 1286 31
